coefrange , typeinstance , nbvar , avg1 , avg2
100000 , 1 , 50 , 0.0001990588 , 0.0006488500000000001
100000 , 1 , 100 , 0.0007047686 , 0.0010951836
100000 , 1 , 200 , 0.0014692706 , 0.0019264053999999999
100000 , 2 , 50 , 0.0006325861999999999 , 0.0004957562
100000 , 2 , 100 , 0.001767442 , 0.0031613542
100000 , 2 , 200 , 0.0042183604 , 0.007531365600000001
100000 , 3 , 50 , 0.0005237034000000001 , 0.0008962076
100000 , 3 , 100 , 0.017868582799999998 , 0.0368088788
100000 , 3 , 200 , 4.2843893284 , 9.195186239600002
100000 , 4 , 50 , 0.00041569880000000005 , 0.0008275778000000001
100000 , 4 , 100 , 0.0075316766 , 0.0210299874
100000 , 4 , 200 , 5.2262481812 , 10.316403347
100000 , 5 , 50 , 0.0011185626 , 0.0020703908
100000 , 5 , 100 , 0.0121971768 , 0.024971212
100000 , 5 , 200 , 0.14327607380000001 , 0.3014088846
100000 , 6 , 50 , 0.14021051539999999 , 0.2734198788
100000 , 6 , 100 , 0.1074360462 , 0.20717158119999998
100000 , 6 , 200 , 0.05723230859999999 , 0.11948548960000001
1000000 , 1 , 50 , 0.0001381616 , 0.0002011522
1000000 , 1 , 100 , 0.0005255753999999999 , 0.0008117154
1000000 , 1 , 200 , 0.0023957264 , 0.0024827418
1000000 , 2 , 50 , 0.0002933606 , 0.0012866254000000001
1000000 , 2 , 100 , 0.0009080641999999999 , 0.0016448305999999999
1000000 , 2 , 200 , 0.0033034418 , 0.0063893488
1000000 , 3 , 50 , 0.0011361712 , 0.0021829450000000004
1000000 , 3 , 100 , 0.0047670926 , 0.010324765199999999
1000000 , 3 , 200 , 0.5354932974 , 1.1530605804
1000000 , 4 , 50 , 0.00026540499999999997 , 0.0005191006
1000000 , 4 , 100 , 0.003923224 , 0.0085772486
1000000 , 4 , 200 , 2.0875506776000003 , 4.0934591436000005
1000000 , 5 , 50 , 0.0021956232 , 0.0023300012
1000000 , 5 , 100 , 0.009783088399999999 , 0.016752715199999997
1000000 , 5 , 200 , 0.032747733200000004 , 0.0641078434
1000000 , 6 , 50 , 0.1884117534 , 0.3680663482
1000000 , 6 , 100 , 0.9175718434 , 1.8655952952
1000000 , 6 , 200 , 0.5389202685999999 , 1.1444301232
10000000 , 1 , 50 , 0.00025598740000000003 , 0.0003831302
10000000 , 1 , 100 , 0.0005890002 , 0.0009108666
10000000 , 1 , 200 , 0.0018540099999999997 , 0.0026481699999999996
10000000 , 2 , 50 , 0.00036515280000000005 , 0.000630701
10000000 , 2 , 100 , 0.0009016088 , 0.0015750388
10000000 , 2 , 200 , 0.0042329286 , 0.0053592594
10000000 , 3 , 50 , 0.0023736699999999996 , 0.0045394502
10000000 , 3 , 100 , 0.0425775338 , 0.08561577880000001
10000000 , 3 , 200 , 5.588090756400001 , 12.082297180400001
10000000 , 4 , 50 , 0.00044597620000000007 , 0.00093524
10000000 , 4 , 100 , 0.0088360636 , 0.0213115222
10000000 , 4 , 200 , 3.5594246814000003 , 6.954775241
10000000 , 5 , 50 , 0.0010127973999999999 , 0.0020185452
10000000 , 5 , 100 , 0.017700025400000003 , 0.0391219506
10000000 , 5 , 200 , 6.439818521400001 , 13.8865531688
10000000 , 6 , 50 , 0.3296424046 , 0.6399765058
10000000 , 6 , 100 , 15.179834394199997 , 30.6334792046
10000000 , 6 , 200 , 11.8323464174 , 24.898544484000002
