coefrange , typeinstance , nbvar , t1 , t2
100000 , 1 , 50 , 0.000271457 , 0.000686061
100000 , 1 , 50 , 0.000121076 , 0.000208978
100000 , 1 , 50 , 0.000124817 , 0.000275069
100000 , 1 , 50 , 0.000117494 , 0.000186023
100000 , 1 , 50 , 0.000116755 , 0.000215051
100000 , 1 , 100 , 0.000353424 , 0.000935951
100000 , 1 , 100 , 0.000520715 , 0.001347816
100000 , 1 , 100 , 0.000693779 , 0.001488488
100000 , 1 , 100 , 0.000494126 , 0.000697546
100000 , 1 , 100 , 0.000201614 , 0.000306966
100000 , 1 , 200 , 0.000585311 , 0.00123192
100000 , 1 , 200 , 0.000713504 , 0.00152116
100000 , 1 , 200 , 0.000423221 , 0.000769868
100000 , 1 , 200 , 0.000812986 , 0.000872914
100000 , 1 , 200 , 0.000844117 , 0.001145171
100000 , 2 , 50 , 6.5465e-5 , 9.7026e-5
100000 , 2 , 50 , 0.000310492 , 0.000721698
100000 , 2 , 50 , 6.1485e-5 , 0.000132653
100000 , 2 , 50 , 0.000420903 , 0.000946148
100000 , 2 , 50 , 6.0458e-5 , 0.000115228
100000 , 2 , 100 , 0.000408589 , 0.000878625
100000 , 2 , 100 , 0.000853615 , 0.002027952
100000 , 2 , 100 , 0.000769381 , 0.004739311
100000 , 2 , 100 , 0.000887446 , 0.002002459
100000 , 2 , 100 , 0.000721233 , 0.00162688
100000 , 2 , 200 , 0.000339488 , 0.000616782
100000 , 2 , 200 , 0.001024329 , 0.002240537
100000 , 2 , 200 , 0.003103219 , 0.010842492
100000 , 2 , 200 , 0.004298743 , 0.009914425
100000 , 2 , 200 , 0.0031697 , 0.010769846
100000 , 3 , 50 , 0.000171591 , 0.000376475
100000 , 3 , 50 , 0.000265855 , 0.000653056
100000 , 3 , 50 , 0.000169999 , 0.000371407
100000 , 3 , 50 , 0.000272115 , 0.000544635
100000 , 3 , 50 , 0.000223486 , 0.000450759
100000 , 3 , 100 , 0.007591793 , 0.019931363
100000 , 3 , 100 , 0.00114313 , 0.002874824
100000 , 3 , 100 , 0.059051642 , 0.153731394
100000 , 3 , 100 , 0.000224275 , 0.000347267
100000 , 3 , 100 , 0.00032797 , 0.000519376
100000 , 3 , 200 , 0.002888465 , 0.007172656
100000 , 3 , 200 , 0.07772262 , 0.167511842
100000 , 3 , 200 , 17.761153209 , 47.129095346
100000 , 3 , 200 , 0.40634106 , 1.074545208
100000 , 3 , 200 , 0.069723273 , 0.191769771
100000 , 4 , 50 , 4.1402e-5 , 7.9208e-5
100000 , 4 , 50 , 3.6675e-5 , 7.877e-5
100000 , 4 , 50 , 3.4913e-5 , 7.7219e-5
100000 , 4 , 50 , 0.000295264 , 0.00073134
100000 , 4 , 50 , 0.000393352 , 0.00091544
100000 , 4 , 100 , 7.7685e-5 , 0.000154805
100000 , 4 , 100 , 0.001535723 , 0.004013712
100000 , 4 , 100 , 0.001086534 , 0.002732059
100000 , 4 , 100 , 0.015311707 , 0.041794168
100000 , 4 , 100 , 0.002684229 , 0.007020401
100000 , 4 , 200 , 0.005696447 , 0.014878068
100000 , 4 , 200 , 0.13281846 , 0.215210405
100000 , 4 , 200 , 0.976441347 , 2.562619383
100000 , 4 , 200 , 3.009746769 , 8.095098436
100000 , 4 , 200 , 14.562286892 , 36.393418622
100000 , 5 , 50 , 0.000246918 , 0.000410621
100000 , 5 , 50 , 0.003706929 , 0.007296002
100000 , 5 , 50 , 0.000442149 , 0.000934006
100000 , 5 , 50 , 0.001059227 , 0.002204589
100000 , 5 , 50 , 0.000576212 , 0.00100812
100000 , 5 , 100 , 0.011502874 , 0.031900171
100000 , 5 , 100 , 0.000207711 , 0.000453725
100000 , 5 , 100 , 0.03072226 , 0.068199917
100000 , 5 , 100 , 0.000942768 , 0.002279155
100000 , 5 , 100 , 0.005285609 , 0.014210893
100000 , 5 , 200 , 0.001889739 , 0.004461448
100000 , 5 , 200 , 0.528110379 , 1.359531653
100000 , 5 , 200 , 0.018555599 , 0.04381182
100000 , 5 , 200 , 0.014652301 , 0.039017038
100000 , 5 , 200 , 0.014331265 , 0.038184686
100000 , 6 , 50 , 0.046374052 , 0.080757759
100000 , 6 , 50 , 0.045610662 , 0.093912244
100000 , 6 , 50 , 0.15837842 , 0.36432592
100000 , 6 , 50 , 0.339530634 , 0.770432925
100000 , 6 , 50 , 0.003331479 , 0.008281475
100000 , 6 , 100 , 0.01583892 , 0.039501292
100000 , 6 , 100 , 0.178753636 , 0.432579994
100000 , 6 , 100 , 0.067922189 , 0.160607842
100000 , 6 , 100 , 0.116251125 , 0.249730367
100000 , 6 , 100 , 0.031604832 , 0.077296038
100000 , 6 , 200 , 0.054527559 , 0.140785498
100000 , 6 , 200 , 0.073152241 , 0.187671211
100000 , 6 , 200 , 0.075127907 , 0.184233283
100000 , 6 , 200 , 0.022965944 , 0.056512884
100000 , 6 , 200 , 0.005242135 , 0.016502324
1000000 , 1 , 50 , 0.000106318 , 0.000201143
1000000 , 1 , 50 , 6.2481e-5 , 0.000113026
1000000 , 1 , 50 , 5.1711e-5 , 0.000102813
1000000 , 1 , 50 , 6.2516e-5 , 0.000113826
1000000 , 1 , 50 , 6.3018e-5 , 0.000114778
1000000 , 1 , 100 , 0.000368115 , 0.000480044
1000000 , 1 , 100 , 0.000365566 , 0.000801425
1000000 , 1 , 100 , 0.00026303 , 0.000585234
1000000 , 1 , 100 , 0.000195248 , 0.000330955
1000000 , 1 , 100 , 0.000216575 , 0.000410376
1000000 , 1 , 200 , 0.000517531 , 0.00100479
1000000 , 1 , 200 , 0.000600729 , 0.001178655
1000000 , 1 , 200 , 0.000528317 , 0.001137818
1000000 , 1 , 200 , 0.000891963 , 0.001755807
1000000 , 1 , 200 , 0.001368019 , 0.002653053
1000000 , 2 , 50 , 0.000359674 , 0.000953312
1000000 , 2 , 50 , 0.000248873 , 0.000443591
1000000 , 2 , 50 , 0.000403669 , 0.000897594
1000000 , 2 , 50 , 0.000346674 , 0.000796224
1000000 , 2 , 50 , 0.000262716 , 0.000564552
1000000 , 2 , 100 , 0.000353729 , 0.000696603
1000000 , 2 , 100 , 0.000925076 , 0.002215361
1000000 , 2 , 100 , 0.001255899 , 0.002971471
1000000 , 2 , 100 , 0.000443681 , 0.000998541
1000000 , 2 , 100 , 0.001218834 , 0.002659293
1000000 , 2 , 200 , 0.001174096 , 0.002566608
1000000 , 2 , 200 , 0.00214588 , 0.007635056
1000000 , 2 , 200 , 0.000871638 , 0.001847406
1000000 , 2 , 200 , 0.004388091 , 0.010461614
1000000 , 2 , 200 , 0.005538446 , 0.004374925
1000000 , 3 , 50 , 0.000122165 , 0.000231219
1000000 , 3 , 50 , 0.004250898 , 0.011543397
1000000 , 3 , 50 , 0.00024992 , 0.000510945
